body_id	name	category	role	host_body_id	mass_kg	radius_m	color_argb	epoch_jd_tdb	a_m	e	i_deg	node_deg	peri_deg	mean_deg	enabled_by_default	notes
moon	Moon	MOON	MASSIVE	earth	7.342000e+22	1.737400e+06	FFCCCCCC	2.451545e+06	3.844000e+08	5.490000e-02	5.145000e+00	1.250800e+02	3.181500e+02	1.352700e+02	true	Built-in starter definition placeholder.
phobos	Phobos	MOON	MASSIVE	mars	1.065900e+16	1.126670e+04	FF9A9A9A	2.451545e+06	9.376000e+06	1.510000e-02	1.080000e+00	4.900000e+01	1.500000e+02	4.500000e+01	true	Built-in starter definition placeholder.
deimos	Deimos	MOON	MASSIVE	mars	1.476200e+15	6.200000e+03	FF9A9A9A	2.451545e+06	2.346320e+07	2.000000e-04	9.300000e-01	7.900000e+01	2.600000e+02	1.800000e+02	true	Built-in starter definition placeholder.
io	Io	MOON	MASSIVE	jupiter	8.931900e+22	1.821600e+06	FFE7C56A	2.451545e+06	4.217000e+08	4.100000e-03	3.600000e-02	4.398000e+01	8.413000e+01	2.000000e+02	true	Built-in starter definition placeholder.
europa	Europa	MOON	MASSIVE	jupiter	4.799800e+22	1.560800e+06	FFD8EEFF	2.451545e+06	6.711000e+08	9.000000e-03	4.660000e-01	2.191000e+02	8.897000e+01	1.000000e+01	true	Built-in starter definition placeholder.
ganymede	Ganymede	MOON	MASSIVE	jupiter	1.481900e+23	2.634100e+06	FFBBAE8C	2.451545e+06	1.070400e+09	1.300000e-03	1.770000e-01	6.355000e+01	1.924200e+02	1.200000e+02	true	Built-in starter definition placeholder.
callisto	Callisto	MOON	MASSIVE	jupiter	1.075900e+23	2.410300e+06	FF8E8E8E	2.451545e+06	1.882700e+09	7.400000e-03	1.920000e-01	2.988500e+02	5.264000e+01	3.000000e+02	true	Built-in starter definition placeholder.
amalthea	Amalthea	MOON	TRACER	jupiter	2.080000e+18	8.350000e+04	FF9A9A9A	2.451545e+06	1.814000e+08	3.000000e-03	3.740000e-01	9.500000e+01	8.000000e+01	4.000000e+01	true	Built-in starter definition placeholder.
himalia	Himalia	MOON	TRACER	jupiter	4.200000e+18	6.980000e+04	FF9A9A9A	2.451545e+06	1.146000e+10	1.620000e-01	2.750000e+01	4.400000e+01	8.200000e+01	1.600000e+02	true	Built-in starter definition placeholder.
mimas	Mimas	MOON	MASSIVE	saturn	3.749300e+19	1.981000e+05	FFD8EEFF	2.451545e+06	1.855400e+08	1.960000e-02	1.570000e+00	1.730000e+02	2.700000e+02	2.100000e+02	true	Built-in starter definition placeholder.
