# SolarLab Horizons Seed Bundle v1
bundle_version=1
dataset_name=Replace with actual dataset name
source=JPL Horizons VECTORS
epoch_jd_tdb=2451545.0
center_id=500@0
frame=ICRF
time_scale=TDB
position_units=m
velocity_units=m/s
generated_at_utc=YYYY-MM-DDTHH:MM:SSZ
notes=Replace with actual notes
---
body_id	name	target	center_id	frame	epoch_jd_tdb	x_m	y_m	z_m	vx_mps	vy_mps	vz_mps	source
sun	Sun	10	500@0	ICRF	2451545.0	0	0	0	0	0	0	JPL Horizons VECTORS
mercury	Mercury	199	500@0	ICRF	2451545.0	REPLACE	REPLACE	REPLACE	REPLACE	REPLACE	REPLACE	JPL Horizons VECTORS
venus	Venus	299	500@0	ICRF	2451545.0	REPLACE	REPLACE	REPLACE	REPLACE	REPLACE	REPLACE	JPL Horizons VECTORS
earth	Earth	399	500@0	ICRF	2451545.0	REPLACE	REPLACE	REPLACE	REPLACE	REPLACE	REPLACE	JPL Horizons VECTORS
mars	Mars	499	500@0	ICRF	2451545.0	REPLACE	REPLACE	REPLACE	REPLACE	REPLACE	REPLACE	JPL Horizons VECTORS
jupiter	Jupiter	599	500@0	ICRF	2451545.0	REPLACE	REPLACE	REPLACE	REPLACE	REPLACE	REPLACE	JPL Horizons VECTORS
saturn	Saturn	699	500@0	ICRF	2451545.0	REPLACE	REPLACE	REPLACE	REPLACE	REPLACE	REPLACE	JPL Horizons VECTORS
uranus	Uranus	799	500@0	ICRF	2451545.0	REPLACE	REPLACE	REPLACE	REPLACE	REPLACE	REPLACE	JPL Horizons VECTORS
neptune	Neptune	899	500@0	ICRF	2451545.0	REPLACE	REPLACE	REPLACE	REPLACE	REPLACE	REPLACE	JPL Horizons VECTORS
ceres	Ceres	1;	500@0	ICRF	2451545.0	REPLACE	REPLACE	REPLACE	REPLACE	REPLACE	REPLACE	JPL Horizons VECTORS
pluto	Pluto	999	500@0	ICRF	2451545.0	REPLACE	REPLACE	REPLACE	REPLACE	REPLACE	REPLACE	JPL Horizons VECTORS
haumea	Haumea	136108;	500@0	ICRF	2451545.0	REPLACE	REPLACE	REPLACE	REPLACE	REPLACE	REPLACE	JPL Horizons VECTORS
makemake	Makemake	136472;	500@0	ICRF	2451545.0	REPLACE	REPLACE	REPLACE	REPLACE	REPLACE	REPLACE	JPL Horizons VECTORS
eris	Eris	136199;	500@0	ICRF	2451545.0	REPLACE	REPLACE	REPLACE	REPLACE	REPLACE	REPLACE	JPL Horizons VECTORS
