# SolarLab Horizons Seed Bundle v1
bundle_version=1
dataset_name=SolarLab Horizons Seed Bundle v1 (J2000 TDB)
source=NASA/JPL Horizons API (vectors)
epoch_jd_tdb=2451545.0
center_id=500@10
frame=ICRF
time_scale=TDB
position_units=m
velocity_units=m/s
generated_at_utc=2026-04-03T09:31:20Z
notes=Generated from NASA/JPL Horizons API with EPHEM_TYPE=VECTORS,VEC_TABLE=2,REF_SYSTEM=ICRF,REF_PLANE=FRAME,VEC_CORR=NONE,OUT_UNITS=KM-S,CSV_FORMAT=YES,OBJ_DATA=NO,TLIST=2451545.0,CENTER=500@10
---
body_id	name	target	center_id	frame	epoch_jd_tdb	x_m	y_m	z_m	vx_mps	vy_mps	vz_mps	source
sun	Sun	10	500@10	ICRF	2451545.0	0.000000000000000E+00	0.000000000000000E+00	0.000000000000000E+00	0.000000000000000E+00	0.000000000000000E+00	0.000000000000000E+00	DE441
mercury	Mercury	199	500@10	ICRF	2451545.0	-1.946172635585372E+10	-5.992796777348039E+10	-2.999277267983142E+10	3.699499185727919E+04	-8.529675283382268E+03	-8.393121143467224E+03	DE441
venus	Venus	299	500@10	ICRF	2451545.0	-1.074564940521906E+11	-6.922528774882654E+09	3.686187045620657E+09	1.381906029263447E+03	-3.201781843168273E+04	-1.449183547326800E+04	DE441
earth	Earth	399	500@10	ICRF	2451545.0	-2.649903367743050E+10	1.327574173383451E+11	5.755671847054072E+10	-2.979426007043741E+04	-5.018052308799903E+03	-2.175393802830554E+03	DE441
mars	Mars	499	500@10	ICRF	2451545.0	2.080481406418420E+11	2.096191735388105E+08	-5.529162313155326E+09	1.162672403766088E+03	2.391840969911661E+04	1.093917191676648E+04	mar099
jupiter	Jupiter	599	500@10	ICRF	2451545.0	5.985676246570645E+11	4.093863059841620E+11	1.608943268775687E+11	-7.909860292172008E+03	1.018357408235488E+04	4.557755393988428E+03	jup365_merged
saturn	Saturn	699	500@10	ICRF	2451545.0	9.583853589157217E+11	9.237154712422728E+11	3.403008584583760E+11	-7.431212958764640E+03	6.110152327010504E+03	2.842799239481524E+03	sat441l
uranus	Uranus	799	500@10	ICRF	2451545.0	2.158974819528798E+12	-1.870911063386387E+12	-8.499688608118601E+11	4.637272105685132E+03	4.262811704355634E+03	1.801372818270055E+03	ura184_merged
neptune	Neptune	899	500@10	ICRF	2451545.0	2.515046471487719E+12	-3.437774106197624E+12	-1.469713518152847E+12	4.465275177950522E+03	2.888286551585958E+03	1.071024500381687E+03	nep097_merged
ceres	Ceres	1;	500@10	ICRF	2451545.0	-3.559423585024965E+11	8.163123942918420E+10	1.108857536222865E+11	-6.205936548273125E+03	-1.704656881733289E+04	-6.760549102192670E+03	JPL#48
pluto	Pluto	999	500@10	ICRF	2451545.0	-1.477330922306794E+12	-4.185578139004337E+12	-8.607382312063003E+11	5.259850276851352E+03	-1.939761452556408E+03	-2.204049388416424E+03	plu060_merged
haumea	Haumea	136108;	500@10	ICRF	2451545.0	-6.879968679838321E+12	-2.034895954514210E+12	2.767799836197705E+12	8.258188773399421E+02	-3.529947151870349E+03	-8.359149100317529E+02	JPL#131
makemake	Makemake	136472;	500@10	ICRF	2451545.0	-6.519249167839652E+12	9.264236330519136E+10	4.103147130434856E+12	-1.227227217227453E+03	-3.463540633898189E+03	-1.183337556916088E+03	JPL#129
eris	Eris	136199;	500@10	ICRF	2451545.0	1.322345412191701E+13	5.775421469778094E+12	-1.750807089370559E+12	-3.524823827266594E+02	9.513355078138256E+02	2.052306474858925E+03	JPL#102
